,LaptopModel
0,Acer Aspire 3
1,Acer  Aspire 5
2,Acer Aspire 5315
3,Acer Aspire 5742
4,Acer Aspire 5742G
5,Acer Aspire 5750G
6,Acer Aspire 5920G
7,Acer Aspire 6935G
8,Acer Aspire 7520
9,Acer Aspire 7520G
10,Acer Aspire 7741G
11,Acer Aspire 7750G
12,Acer Aspire 8920G
13,Acer Aspire 8930G
14,Acer Aspire E 15
15,Acer Aspire ES
16,Acer Aspire F 15
17,Acer Aspire One 722
18,Acer Aspire One ZG5
19,Acer Aspire S
20,Acer Aspire S 13
21,Acer Aspire S3 391
22,Acer Aspire S7 391
23,Acer Aspire Switch 10
24,Acer Aspire Timeline
25,Acer Aspire V3-772G
26,Acer Aspire V5-571
27,Acer Aspire V5-573G
28,Acer Aspire V Nitro
29,Acer Aspire VX 15
30,Acer Asprire R 13
31,Acer Asprire R 15
32,Acer Asprire V 15
33,Acer Chromebook 11
34,Acer Chromebook C710
35,Acer Chromebook C720
36,Acer Chromebook C720P
37,Acer Chromebook R11
38,Acer Extensa 5220
39,Acer Extensa 5235
40,Acer Ferrari
41,Acer Nitro 5
42,Acer One 10
43,Acer Predator 15
44,Acer Predator 17
45,Acer Predator 17 X
46,Acer Predator Helios 300
47,Acer Spin
48,Acer Spin 1
49,Acer Spin 3
50,Acer Spin 5
51,Acer Spin 7
52,Acer Swift
53,Acer Swift 1
54,Acer Swift 3
55,Acer Swift 5
56,Acer Swift 7
57,Acer Switch Alpha 12
58,Acer TravelMate
59,Alienware 13
60,Alienware 13 R3
61,Alienware 14
62,Alienware 15
63,Alienware 15 R2
64,Alienware 17
65,Alienware 17 R4
66,Alienware 18
67,Alienware M11X
68,Alienware M11X R2
69,Alienware M14X
70,Alienware M14X R2
71,Alienware M15
72,Alienware M15X
73,Alienware M17X
74,Alienware M17X R4
75,Alienware M18X
76,Aspire Switch 12
77,ASUS Chromebook
78,ASUS E203MA
79,ASUS EeeBook X205TA
80,ASUS Eee PC 1000H
81,ASUS Eee PC 1005HA
82,ASUS Eee PC 1005PE
83,ASUS Eee PC 901
84,ASUS Eee PC Seashell
85,ASUS F3 Series
86,ASUS F5 Series
87,ASUS K Series
88,ASUS P Series
89,ASUS ROG G701VI
90,ASUS ROG G701VO
91,ASUS ROG G74SX
92,ASUS ROG G752VM
93,ASUS ROG G752VS
94,ASUS ROG G752VT
95,ASUS ROG G75VW
96,ASUS ROG Strix GL503
97,ASUS ROG Zephyrus GX501
98,ASUS Transformer Book
99,ASUS Transformer Book T300
100,ASUS VivoBook
101,ASUS VivoBook X202E
102,ASUS X Series X54C
103,ASUS ZenBook
104,Chuwi Lapbook Se
105,Compaq 610
106,Compaq 615
107,Compaq 620
108,Compaq 621
109,Compaq Presario
110,Compaq Presario CQ56
111,Compaq Presario CQ60
112,Dell G3
113,Dell G5 15
114,Dell G7 7588
115,Dell Inspiron 11 3162
116,Dell Inspiron 11 3164
117,Dell Inspiron 11 3168
118,Dell Inspiron 11 3169
119,Dell Inspiron 11 3179
120,Dell Inspiron 11 3185
121,Dell Inspiron 13 5368
122,Dell Inspiron 13 5378
123,Dell Inspiron 13 7000
124,Dell Inspiron 13 7368
