,Value
548,Accellorize 33110W
549,Acer Liquid E700
550,Acer Liquid Z6
551,Acer M900
552,AGM M1
553,AGM X3
554,AGM X3-JBL
555,Alcatel 991
556,Alcatel A3
557,Alcatel A5 LED
558,Alcatel Fierce XL
559,Alcatel Fire 2 3.5
560,Alcatel Fire C 2G
561,Alcatel Fire C 3G
562,Alcatel Fire E
563,Alcatel Go Play
564,Alcatel Idol 4
565,Alcatel Idol 4S
566,Alcatel Mpop
567,Alcatel OneTouch Fierce 2
568,Alcatel OneTouch Idol 3
569,Alcatel OT-355
570,Alcatel OT-602
571,Alcatel Pixi 3 3.5
572,Alcatel Pixi 3 4
573,Alcatel Pixi 3 4.5
574,Alcatel Pixi 4
575,Alcatel Pixi 4 Plus Power
576,Alcatel Pixi First
577,Alcatel Pop 3 5
578,Alcatel Pop 3 5.5
579,Alcatel Pop 4
580,Alcatel Pop 4Plus
581,Alcatel Pop 4S
582,Alcatel Pop C1
583,Alcatel Pop C3
584,Alcatel Pop C5
585,Alcatel Pop C7
586,Alcatel Pop D1
587,Alcatel Pop D3
588,Alcatel Pop D5
589,Alcatel Pop S3
590,Alcatel Pop S7
591,Alcatel Pop S9
592,Alcatel Pop Star
593,Alcatel Pop Up
594,Alcatel Scribe
595,Alcatel Scribe HD
596,Alcatel Star
597,Alcatel U5
598,Alcatel X1
599,Amazon Fire Phone
600,Apple iPhone (1st Generation)
601,Apple iPhone 3G
602,Apple iPhone 3GS
603,Apple iPhone 4
604,Apple iPhone 4s
605,Apple iPhone 5
606,Apple iPhone 5c
607,Apple iPhone 5s
608,Apple iPhone 6
609,Apple iPhone 6 Plus
610,Apple iPhone 6s
611,Apple iPhone 6s Plus
612,Apple iPhone 7
613,Apple iPhone 7 Plus
614,Apple iPhone 7s
615,Apple iPhone 8
616,Apple iPhone 8 Plus
617,Apple iPhone SE
618,Apple iPhone X
619,Apple iPhone XR
620,Apple iPhone XS
621,Apple iPhone XS Max
622,Archos 50 Neon
623,Archos 50 Platinum
624,ASUS PadFone 2
625,ASUS PadFone S
626,ASUS PadFone X
627,ASUS ROG Phone
628,ASUS ZenFone
629,ASUS ZenFone 2
630,ASUS ZenFone 3
631,ASUS ZenFone 4
632,ASUS ZenFone 5
633,ASUS ZenFone 6
634,Binatone The Brick
635,Binatone The Brick Power Edition
636,BlackBerry 8830 World Edition
637,BlackBerry Bold 9000
638,BlackBerry Bold 9650
639,BlackBerry Bold 9700
640,BlackBerry Bold 9780
641,BlackBerry Bold 9790
642,BlackBerry Bold 9900
643,BlackBerry Bold 9930
644,BlackBerry Classic
645,BlackBerry Curve 8520
646,BlackBerry Curve 8530
647,BlackBerry Curve 8900
648,BlackBerry Curve 9300
649,BlackBerry Curve 9310
650,BlackBerry Curve 9320
651,BlackBerry Curve 9330
652,BlackBerry Curve 9350
653,BlackBerry Curve 9360
654,BlackBerry Curve 9370
655,BlackBerry Curve 9380
656,BlackBerry DTEK50
657,BlackBerry KEY2
658,BlackBerry KEY2 LE
659,BlackBerry KEYone
660,BlackBerry Leap
661,BlackBerry Passport
662,BlackBerry Pearl 9105
663,BlackBerry Porsche P'9981
664,BlackBerry Priv
665,BlackBerry Q10
666,BlackBerry Q20
667,BlackBerry Q5
668,BlackBerry Storm
669,BlackBerry Storm 2
670,BlackBerry Torch 9800
671,BlackBerry Torch 9810
672,BlackBerry Torch 9850
673,BlackBerry Torch 9860
674,BlackBerry X10
675,BlackBerry Z10
676,BlackBerry Z30
677,Blackview A8
678,Blackview BV5000
679,Blackview BV6000
680,BLU Advance 4.0
681,BLU Aria T174i
682,Bluboo Maya
683,Bluboo Xtouch
684,BLU Dash 5.0
685,BLUE C5
686,BLU Grand M2 (2018) G290Q
687,BLU Grand M2 (2018) G291Q
688,BLU Grand Max
689,BLU Life One
690,BLU Life Play
691,BLU Life Pure
692,BLU Life Pure XL
693,BLU Life XL
694,BLU R1 HD
695,BLU Studio 5.0
696,BLU Studio 5.5
697,BLU Studio 6.0
698,BLU Studio 7.0
699,BLU Studio Energy2
700,BLU Studio Mega (2018) S910Q
701,BLU Studio XL
702,BLU Tank II
703,BLU Vivo 5
704,BLU Vivo Air
705,BLU Vivo XL
706,BLU Win HD
707,BLU Z3
708,BQ Aquaris X
709,Casio G'zOne Commando
710,Casio G'zOne Ravine 2
711,CAT B15
712,Cat S30
713,Cat S40
714,CAT S41
715,Cat S50
716,Cat S60
717,Cat S61
718,Cubot Dinosaur
719,Cubot One
720,Cubot P11
721,Cubot P20
722,Cubot P9
723,Cubot Rainbow 2
724,Cubot S600
725,Cubot X18
726,Cubot X18 Plus
727,Cubot X19
728,Cubot X6
729,Cubot Z100
730,Danger Sidekick 3
731,Dell Streak 5
732,Dell Venue Pro
733,Discovery V5
734,Doogee C10
735,Doogee F5
736,Doogee S60
737,Doogee T6
738,Doogee X5 MAX
739,Doogee X5 MAX Pro
740,Doogee X5 Pro
741,Doogie X5
742,Doogie X5 MAX
743,Doogie X5 MAX Pro
744,Doogie X5S
745,Doro 8030
746,Doro HandlePlus 326i
747,Doro HandlePlus 334
748,Doro PhoneEasy 332
749,Doro PhoneEasy 338
750,Doro PhoneEasy 341
751,Doro PhoneEasy 345
752,Doro PhoneEasy 409
753,Doro PhoneEasy 410
754,Doro PhoneEasy 505
755,Doro PhoneEasy 508
756,Doro PhoneEasy 610
757,Doro PhoneEasy 611
758,Doro PhoneEasy 612
759,Doro PhoneEasy 615
760,Doro PhoneEasy 626
761,Doro PhoneEasy 631
762,Doro PhoneEasy 632
763,Elephone
764,Elephone A4 Pro
765,Elephone G7
766,Elephone P2000
767,Elephone P3000S
768,Elephone P6000
769,Elephone P7000
770,Elephone P8000
771,Elephone P9000
772,Elephone PX
773,Elephone S8
774,Elephone Soldier
775,Emporia RL1
776,Ericsson T28
777,F(x)tec Pro 1
778,Fairphone 2
779,Gigaset GS370 PLUS
780,Google Pixel
781,Google Pixel 2
782,Google Pixel 2 XL
783,Google Pixel 3
784,Google Pixel 3 XL
785,Google Pixel XL
786,Goophone I6
787,GT-B7350XKAXEU
788,Homtom HT17
789,Homtom HT3
790,Homtom HT7
791,Honor 10 Lite
792,Honor 7A
793,HP Elite x3
794,HTC 10
795,HTC Amaze 4G
796,HTC Butterfly
797,HTC Butterfly 2
798,HTC Butterfly S
799,HTC ChaCha
800,HTC Desire 10 Pro
801,HTC Desire 12
802,HTC Desire 310
803,HTC Desire 500
804,HTC Desire 510
805,HTC Desire 526
806,HTC Desire 530
807,HTC Desire 610
808,HTC Desire 620
809,HTC Desire 626
810,HTC Desire 626S
811,HTC Desire 650
812,HTC Desire 816
813,HTC Desire 820
814,HTC Desire C
815,HTC Desire EYE
816,HTC Desire HD
817,HTC Desire S
818,HTC Desire V
819,HTC Desire X
820,HTC Desire Z
821,HTC Droid DNA
822,HTC Droid Incredible 2
823,HTC Droid Incredible 4G LTE
824,HTC Evo 3D
825,HTC Evo 4G
826,HTC Evo 4G LTE
827,HTC Evo V 4G
828,HTC Exodus 1
829,HTC Explorer
830,HTC First
831,HTC Flyer
832,HTC HD2
833,HTC HD7
834,HTC Incredible S
835,HTC Inspire 4G
836,HTC Legend
837,HTC Mozart
838,HTC myTouch 3G
839,HTC myTouch 4G
840,HTC Nexus One
841,HTC One
842,HTC One A9
843,HTC One M8
844,HTC One M9
845,HTC One M9+
846,HTC One Max
847,HTC One Mini
848,HTC One Mini 2
849,HTC One S
850,HTC One SV
851,HTC One V
852,HTC One X
853,HTC One X+
854,HTC One X10
855,HTC One XL
856,HTC Radar
857,HTC Rezound
858,HTC Rhyme
859,HTC Sensation XE
860,HTC Sensation XL
861,HTC ThunderBolt
862,HTC Titan
863,HTC Titan II
864,HTC Touch Pro
865,HTC Touch Pro2
866,HTC Trophy
867,HTC U11
868,HTC U11 EYEs
869,HTC U12
870,HTC U12+
871,HTC U Play
872,HTC U Ultra
873,HTC Vivid
874,HTC Wildfire
875,HTC Windows Phone 8S
876,HTC Windows Phone 8X
877,Huawei Ascend
878,Huawei Ascend Mate
879,Huawei Ascend Mate2
880,Huawei Ascend Mate7
881,Huawei Ascend Mate8
882,Huawei Ascend P6
883,Huawei Ascend P7
884,Huawei Ascend Y200
885,Huawei Ascend Y300
886,Huawei Ascend Y330
887,Huawei Ascend Y530
888,Huawei Blaze
889,Huawei G8
890,Huawei G Play Mini
891,Huawei GR5
892,Huawei GX8
893,Huawei Honor 10
894,Huawei Honor 10 Lite
895,Huawei Honor 5C
896,Huawei Honor 5X
897,Huawei Honor 6
898,Huawei Honor 6C
899,Huawei Honor 6 Plus
900,Huawei Honor 6X
901,Huawei Honor 7
902,Huawei Honor 7A
903,Huawei Honor 7X
904,Huawei Honor 8
905,Huawei Honor 8 Pro
906,Huawei Honor 8X
907,Huawei Honor 8X Max
908,Huawei Honor 9
909,Huawei Honor Play
910,Huawei Honor View 10
911,Huawei Honor View 20
912,Huawei Honour
913,Huawei Ideos X3
914,Huawei M735
915,Huawei Mate 10
916,Huawei Mate 10 Lite
917,Huawei Mate 20
918,Huawei Mate 20 lite
919,Huawei Mate 20 Pro
920,Huawei Mate 20 RS Porsche Design
921,Huawei Mate 20 X
922,Huawei Mate 8
923,Huawei Mate 9
924,Huawei Mate 9 Pro
925,Huawei Mate RS Porsche Design
926,Huawei Mate S
927,Huawei Mate SE
928,Huawei Mate X
929,Huawei Nexus 6P
930,Huawei nova
931,Huawei nova 2 Plus
932,Huawei nova 3e
933,Huawei nova Plus
934,Huawei P10
935,Huawei P10 Lite
936,Huawei P10 Plus
937,Huawei P20
938,Huawei P20 Lite
939,Huawei P20 Pro
940,Huawei P30
941,Huawei P30 Lite
942,Huawei P30 Pro
943,Huawei P8
944,Huawei P8 lite
945,Huawei P8 lite (2017)
946,Huawei P9
947,Huawei P9 lite
948,Huawei P9 Plus
949,Huawei P Smart+ (2019)
950,Huawei Y3
951,Huawei Y5
952,Huawei Y5 (2019)
953,Huawei Y6
954,Huawei Y6 (2019)
955,Huawei Y625
956,Huawei Y635
957,Huawei Y7 (2018)
958,Huawei Y7 (2019)
959,Huawei Y9 (2019)
960,Indigi G900
961,Indigi M8
962,iNew V3
963,iPro Q70
964,Iridium 9555
965,JCB Pro Smart
966,JCB Pro Talk
967,JCB Sitemaster
968,JCB Sitemaster 2
969,JCB Sitemaster 3G
970,JCB Tradesman
971,Jiayu G4
972,Jiayu G4S
973,Jiayu G5
974,Jiayu G5S
975,Jiayu S3
976,Kingzone K1
977,Kyocera Brigadier
978,Kyocera DuraForce
979,Kyocera DuraXV LTE
980,Kyocera Echo
981,Kyocera Hydro Wave
982,Kyocera Rio E3100
983,Lava Z60s
984,LEAGOO Elite 5
985,LEAGOO Shark 1
986,Lenovo A1000
987,Lenovo A2010
988,Lenovo A2100
989,Lenovo A5000
990,Lenovo A6000
991,Lenovo A616
992,Lenovo A7000
993,Lenovo A806
994,Lenovo A916
995,Lenovo K3
996,Lenovo K3 Note
997,Lenovo K6
998,Lenovo K900
999,Lenovo P2
1000,Lenovo P70
1001,Lenovo P780
1002,Lenovo S60
1003,Lenovo S860
1004,Lenovo S90
1005,Lenovo Vibe K5
1006,Lenovo Vibe P1
1007,Lenovo Vibe P1m
1008,Lenovo Vibe S1
1009,Lenovo Vibe Shot
1010,Lenovo Vibe X2
1011,Lenovo Vibe X3
1012,Lenovo Vibe Z
1013,Lenovo Vibe Z2 Pro
1014,Lenovo X2
1015,Lenovo ZUK Z2
1016,LG 840G
1017,LG A250 Hornet
1018,LG Aristo 2
1019,LG C1100
1020,LG Chocolate
1021,LG Chocolate Touch
1022,LG Class-LG Zero
1023,LG Cookie
1024,LG Cookie Fresh
1025,LG Cookie Lite
1026,LG Cosmos 3
1027,LG Elite
1028,LG enV3
1029,LG enV Touch
1030,LG Escape 2
1031,LG Escape 3
1032,LG Extravert 2
1033,LG G2
1034,LG G2 mini
1035,LG G3
1036,LG G3 S
1037,LG G3 Stylus
1038,LG G4
1039,LG G5
1040,LG G6
1041,LG G6+
1042,LG G7 Fit
1043,LG G7 ThinQ
1044,LG G8 ThinQ
1045,LG GD580 Lollipop
1046,LG G Flex
1047,LG G Flex 2
1048,LG G Pro 2
1049,LG G Pro Lite
1050,LG G Stylo
1051,LG G Vista
1052,LG G Vista 2
1053,LG GW550
1054,LG GW620
1055,LG Intuition
1056,LG K10
1057,LG K10 (2017)
1058,LG K3
1059,LG K4
1060,LG K7
1061,LG K8
1062,LG KP500
1063,LG KS360
1064,LG Leon
1065,LG Lotus
1066,LG Lucid
1067,LG Mach
1068,LG Neon
1069,LG Nexus 4
1070,LG Nexus 5
1071,LG Nexus 5X
1072,LG Nitro
1073,LG Nitro HD
1074,LG Octane VN530
1075,LG Optimus 2X
1076,LG Optimus 3D
1077,LG Optimus 4X HD
1078,LG Optimus 7 E900
1079,LG Optimus Black
1080,LG Optimus Elite
1081,LG Optimus F3
1082,LG Optimus F6
1083,LG Optimus G
1084,LG Optimus G Pro
1085,LG Optimus L3
1086,LG Optimus L5
1087,LG Optimus L70
1088,LG Optimus L7 P700
1089,LG Optimus L9
1090,LG Optimus L90
1091,LG Optimus Me
1092,LG Optimus Plus
1093,LG Optimus S
1094,LG Optimus Zone
